name,username,bio
Abeebullah Olamide,@Realharkanbi,Emerging Young Leader | Student Activist | Ambassador of Peace |Knowledge Seeker | Web Developer | Swimmer |
Bella White,@bellawhites809,A business expert with so much experience
#BIGSIA,@iam_ismaheel,Sometimes you have to just chill and vibe alone. Engineer (Samsung phones ) Photographer Game Lover #Barcelona #BIGSIA
SON Of Grace,@SONKearneyBee,I'm an artiste young entertainer singer song writer skit write actor performing artiste for booking and sponsorship 08121078974 kennybb.ok@gmail.com
elchasid godson,@chasidGodson,I will write something later..
Anthony Karo,@AnthonyKaro3,"I'm a nigerian, graphic designer, student"
Mayor,@Mayor52565089,For is with me
Hezzyboss,@UncuKenny,Fishery Expert | Chairman | Mentor | JW |
SesanMd,@CapableSesan,Child of God || Law Student || Learning UI/UX || Sports Law || Intellectual Property Law || ADR || Human Rights || Chelsea
Splendour,@Splendourricch,UP THE CHELS!... No Chelsea bants will be tolerated
SmokeTom,@AduayiT,library and information sci|Entrepreneur|| Catering Service| |Christian| |Manager | |Die hard Liverpool| ||Griller|mixologist
FreshBoi,@fwesh234,Go figure
Jerry johnson,@johnsonjeey007,Cool and nice
GREAT ERUKANURE,@GErukanure,"The Dawn is upon us| Student of Life..| NFT artist
@11032004
on Opensea| Graphics designer"
Olulola Odubela,@baby_black20,Writer |Anatomist | Fashion illustrator | Fashion lover | Health |Amala lover |Impeccability |I stopped growing at 11| Wave from afar at your own risk |
KB@Bush,KB@Bush,Forget everything else Make Money the rest will follow
Sylvanus Bangura,@sylbangs83,Aviator / Psychologist /Strategist. Future is good.
Engr POPE,@kelvin_lion,It Pays 2 B HUMBLE..#Originality #TeamArsenal
Daniel,@OA_daniel01,Agriculture | Real estate development | Industrial engineering| Tech..|
Jamie,@Jamesthedo,"Marketer, Investor."
abdulrauf abdulrazak,@abdulfuk7929099,spend more time on the qur'an and in remembrance of Allah than you do on social medias
Sarah Adesemoye,@SarahAdesemoye,"•BEING A GLOBAL DESIGNER is the standard •NYFEW 2021 WINNER •Founder -
@shinnefashion
•Fashion Designer/Stylist •Budding Content/Creative/Copywriter"
Abraham Olamide Olatunji,@AbrahamOlamide7,I am an entrepreneur|Mechanical engineering student| Cryptocurrency holder|NFT CREATOR|Forex Trading| Nutritional consultant|Fitness instructor|Photographer.
Phemz,@iamPhemz,Sanguine-Melancholic
Bamidele Philip,@BamidelePhili1,I’m good
Aladenusi Ola kelvin,@Horla_5,"Gentle, humble, caring and fun to be with."
Njoku prisca,@fierce___dee,Foodie Dancer Ambivert
Nwachinemelu Ibilibeogada,@omillz619,Manchester United Investment Banker Forex trader Son of the most high Entrepreneur Closing deals and spotting opportunities are my super powers
Mr Dahiru,@Dzob4real,"I follow back!!!#Team leo #Team Drake #Team Madrid,#Team Statistician.instagram;mr_dahiru"
Naomi Temitope,@temmynaomi11,"An Educationist, A photographer,A business owner plus A beautiful woman of any man’s dream..Follow us
@bb_kiddies
on IG"
Olufemzie,@olufemzie,fresh
Da~Silva,@Am_Da_Silva,Born to rule Follow me I follow back
Da_mian O.,@iam_de_ShaQ,fx. investor||A.I trader||the Lord's unworthy servant detamer
cashino,@cashinoymx,Ayam prophetic
Michael meeeky,@Babyboy0991,"love nd kind person to be with Content writer, financial analyst, Forex trader Manchester United fan"
Smog Charles,@charles_smog,A Crypto Enthusiastic Individual With Much Interest In Creating Conceptual Photographic NFTs.
Olatunji Ajibola,@omo_olatunji,Web developer| Data scientist| Digital Marketer| Astrologer| IT Analyst Support| E-Commerce Analyst| Social Media Manager|
WoW Arts CLN,@ElderNurudeen,"WoW Arts CLN is New NFT project with big future, we bring you nice arts NFTs"
‘Wole of His & Hers Fashion Embassy,@o_seanstel,fashion brand | Researcher | Teacher | Computer Wizard | Father | Businessman
Mkhandy,@MkhandyReal,#Multimedia #Artist #NFT #Music @ https://audius.co/Mkhandyreal/mkhandy-amazulu-people-of-the-heavens-mp32… RTs are not endorsement.
DanAchi,@daany100,DT1Rvj9E3PctqGwR4cMK9ERHodHJtytS7s #Doge 0x6E52c5da6578B69e442Bfd19e1D7fBe19eFfdC27 #BSC bc1q5ng9028h6w4zdtya9ye6au30fwre2cdcygh535 #BTC
Jorge Goes,@Jgoes82,"Co-owner (with
@JohnTextor
) of Botafogo F.R., Engenheiro , Investidor & Empreendedor"
Obidike kenechukwu,@Obi_Dike_logo,Artist .$ERIOUS INQUIRY ONLY .CASHAPP. PAYPAL. APPLE PAY .DEPOSIT ARE NOT REFUNDABLE .24HRS PERFECT WORK DONE@OBI_DIKE_LOGO
Bobgentle,@mustaphamukail1,An unrepentant Naija spirit
David,@David13377790,I have vision of the world I build
singlepringle,@Raymond46386005,
Emiola Yetunde,@EmiolaY,One luv keep us 2gether
sugarboy sammy,@sammy_ugochukwu,Am sammy by name from imo state
official_Preshie1,@Preciou3122638,I am a focused career driven woman who doesn’t quit on any of her goals.I have the zeal to do lots of things I will move at a pace and achieve all. #stability
crypto project broovsBRS,@ozbalc_ozkan,http://coinswifter.com dev proje dev yatırım hayalinizin en yüksek zirvesi BroovsProjetBRS
P.A.P.I,@officialdhaveed,Canada in Jesus name /Student Nurse//5'9
OLANIYI OLUWASEGUN,@OLANIYI1182,Am so so grateful with what God have done for me
